"OePNV","kiezblocks","Fahrrad","Verbrenner","E_Fahrzeuge","DRT","Anwohnerparken","Besucherparken","CO2","Kosten","traffic","parking","KostenProKopf","KostenProErwachsener"
"stark","base","base","base","Maut","base","10 €/Jahr","0,00 €/h",0.9,3.1e+09,0.9,0.95,815.78947368421,1013.07189542484
"base","Innenstadt","base","base","Maut","base","10 €/Jahr","0,00 €/h",0.9505,3462500000,0.95,1,911.184210526316,1131.53594771242
"dekarbonisiert","Innenstadt","base","base","Maut","base","10 €/Jahr","0,00 €/h",0.95,3412500000,0.95,1,898.026315789474,1115.19607843137
"stark","Innenstadt","base","base","Maut","base","10 €/Jahr","0,00 €/h",0.85,2912500000,0.85,0.95,766.447368421052,951.797385620915
"base","ganze Stadt","base","base","Maut","base","10 €/Jahr","0,00 €/h",0.9,3.275e+09,0.9,0.95,861.842105263158,1070.2614379085
"dekarbonisiert","ganze Stadt","base","base","Maut","base","10 €/Jahr","0,00 €/h",0.9,3.225e+09,0.9,0.95,848.684210526316,1053.92156862745
"stark","ganze Stadt","base","base","Maut","base","10 €/Jahr","0,00 €/h",0.8,2.725e+09,0.8,0.9,717.105263157895,890.522875816994
"base","base","stark","base","Maut","base","10 €/Jahr","0,00 €/h",0.9,3.215e+09,0.9,0.95,846.052631578947,1050.65359477124
"dekarbonisiert","base","stark","base","Maut","base","10 €/Jahr","0,00 €/h",0.9,3.165e+09,0.9,0.95,832.894736842105,1034.3137254902
"stark","base","stark","base","Maut","base","10 €/Jahr","0,00 €/h",0.8,2.665e+09,0.8,0.9,701.315789473684,870.915032679739
"base","Innenstadt","stark","base","Maut","base","10 €/Jahr","0,00 €/h",0.85,3045750000,0.85,0.95,801.513157894737,995.343137254902
"dekarbonisiert","Innenstadt","stark","base","Maut","base","10 €/Jahr","0,00 €/h",0.85,2995750000,0.85,0.95,788.355263157895,979.003267973856
"stark","Innenstadt","stark","base","Maut","base","10 €/Jahr","0,00 €/h",0.75,2495750000,0.75,0.9,656.776315789474,815.604575163399
"base","ganze Stadt","stark","base","Maut","base","10 €/Jahr","0,00 €/h",0.8,2876500000,0.8,0.9,756.973684210526,940.032679738562
"dekarbonisiert","ganze Stadt","stark","base","Maut","base","10 €/Jahr","0,00 €/h",0.8,2826500000,0.8,0.9,743.815789473684,923.692810457516
