"OePNV","kiezblocks","Fahrrad","Verbrenner","E_Fahrzeuge","DRT","Anwohnerparken","Besucherparken","CO2","Kosten","traffic","parking","KostenProKopf","KostenProErwachsener"
"stark","base","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,2244351980,0.65,0.15,590.618940789474,733.448357843137
"base","Innenstadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.01,2776018260,0.7,0.2,730.531121381579,907.195510212418
"dekarbonisiert","Innenstadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,2726018260,0.7,0.2,717.373226644737,890.855640931373
"stark","Innenstadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,2226018260,0.65,0.15,585.794279276316,727.456948120915
"base","ganze Stadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.01,2755907000,0.7,0.15,725.238684868421,900.623203431373
"dekarbonisiert","ganze Stadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,2705907000,0.7,0.15,712.080790131579,884.283334150327
"stark","ganze Stadt","stark","Verbot","Maut","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,2205907000,0.65,0.15,580.501842763158,720.884641339869
"base","base","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.3,434687500,0.75,0.3,114.391447368421,142.054738562092
"dekarbonisiert","base","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.3,384687500,0.75,0.3,101.233552631579,125.714869281046
"stark","base","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,-115312500,0.7,0.3,-30.3453947368421,-37.6838235294118
"base","Innenstadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.3,422789370,0.75,0.3,111.260361842105,138.166462418301
"dekarbonisiert","Innenstadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.3,372789370,0.75,0.3,98.1024671052631,121.826593137255
"stark","Innenstadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,-127210630,0.65,0.3,-33.4764802631579,-41.5720996732026
"base","ganze Stadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.3,407921250,0.75,0.3,107.347697368421,133.307598039216
"dekarbonisiert","ganze Stadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,357921250,0.75,0.3,94.1898026315789,116.96772875817
"stark","ganze Stadt","base","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,-142078750,0.65,0.25,-37.3891447368421,-46.4309640522876
"base","base","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.3,347921250,0.75,0.3,91.5582236842105,113.699754901961
"dekarbonisiert","base","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,297921250,0.75,0.3,78.4003289473684,97.359885620915
"stark","base","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,-202078750,0.65,0.25,-53.1786184210526,-66.0388071895425
"base","Innenstadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,336415940,0.75,0.3,88.5305098684211,109.939848856209
"dekarbonisiert","Innenstadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,286415940,0.75,0.3,75.372615131579,93.5999795751634
"stark","Innenstadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,-213584060,0.65,0.25,-56.2063322368421,-69.7987132352941
"base","ganze Stadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,322089120,0.75,0.25,84.7602960526316,105.257883986928
"dekarbonisiert","ganze Stadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.25,272089120,0.75,0.25,71.6024013157895,88.9180147058824
"stark","ganze Stadt","stark","base","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.2,-227910870,0.65,0.25,-59.9765460526316,-74.4806781045751
"base","base","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.2,839155000,0.75,0.25,220.830263157895,274.233660130719
"dekarbonisiert","base","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.2,789155000,0.75,0.25,207.672368421053,257.893790849673
"stark","base","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,289155000,0.65,0.25,76.0934210526316,94.4950980392157
"base","Innenstadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.2,806142500,0.75,0.25,212.142763157895,263.445261437908
"dekarbonisiert","Innenstadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,756142500,0.75,0.25,198.984868421053,247.105392156863
"stark","Innenstadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,256142500,0.65,0.25,67.4059210526316,83.7066993464052
"base","ganze Stadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,770457000,0.75,0.25,202.751842105263,251.783333333333
"dekarbonisiert","ganze Stadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,720457000,0.75,0.25,189.593947368421,235.443464052288
"stark","ganze Stadt","base","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,220457000,0.65,0.25,58.015,72.0447712418301
"base","base","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,710457000,0.75,0.25,186.962368421053,232.175490196078
"dekarbonisiert","base","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,660457000,0.75,0.25,173.804473684211,215.835620915033
"stark","base","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,160457000,0.65,0.25,42.2255263157895,52.4369281045752
"base","Innenstadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,679978450,0.7,0.25,178.941697368421,222.215179738562
"dekarbonisiert","Innenstadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,629978450,0.7,0.25,165.783802631579,205.875310457516
"stark","Innenstadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,129978450,0.65,0.25,34.2048552631579,42.4766176470588
"base","ganze Stadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,646960550,0.7,0.25,170.252776315789,211.425016339869
"dekarbonisiert","ganze Stadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,596960550,0.7,0.25,157.094881578947,195.085147058824
"stark","ganze Stadt","stark","Maut","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.15,96960550,0.65,0.25,25.5159342105263,31.686454248366
"base","base","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.01,118425000,0.65,0,31.1644736842105,38.7009803921569
"dekarbonisiert","base","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,68425000,0.65,0,18.0065789473684,22.3611111111111
"stark","base","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,-431575000,0.6,0,-113.572368421053,-141.037581699346
"base","Innenstadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.01,113425000,0.65,0,29.8486842105263,37.0669934640523
"dekarbonisiert","Innenstadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,63425000,0.65,0,16.6907894736842,20.7271241830065
"stark","Innenstadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,-436575000,0.6,0,-114.888157894737,-142.671568627451
"base","ganze Stadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.01,108425000,0.65,0,28.5328947368421,35.4330065359477
"dekarbonisiert","ganze Stadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,58425000,0.65,0,15.375,19.093137254902
"stark","ganze Stadt","base","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,-441575000,0.6,0,-116.203947368421,-144.305555555556
"base","base","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.01,48425000,0.65,0,12.7434210526316,15.8251633986928
"dekarbonisiert","base","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,-1575000,0.65,0,-0.414473684210527,-0.514705882352942
"stark","base","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,-501575000,0.6,0,-131.993421052632,-163.91339869281
"base","Innenstadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.01,43425000,0.65,0,11.4276315789474,14.1911764705882
"dekarbonisiert","Innenstadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,-6575000,0.65,0,-1.73026315789474,-2.14869281045752
"stark","Innenstadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,-506575000,0.6,0,-133.309210526316,-165.547385620915
"base","ganze Stadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0.01,38425000,0.65,0,10.1118421052632,12.5571895424837
"dekarbonisiert","ganze Stadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,-11575000,0.65,0,-3.04605263157895,-3.78267973856209
"stark","ganze Stadt","stark","Verbot","Verbot","nur Aussenbezirke","1.000 €/Jahr","2,00 €/h",0,-511575000,0.6,0,-134.625,-167.18137254902
"base","base","base","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,447562500,0.8,0.3,117.779605263158,146.262254901961
"dekarbonisiert","base","base","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,397562500,0.8,0.3,104.621710526316,129.922385620915
"stark","base","base","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,-102437500,0.75,0.3,-26.9572368421053,-33.4763071895425
"base","Innenstadt","base","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,435938120,0.8,0.3,114.720559210526,142.463439542484
"dekarbonisiert","Innenstadt","base","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,385938120,0.8,0.3,101.562664473684,126.123570261438
"stark","Innenstadt","base","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,-114061870,0.75,0.3,-30.0162828947368,-37.2751225490196
"base","ganze Stadt","base","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,421343750,0.8,0.3,110.879934210526,137.694035947712
"dekarbonisiert","ganze Stadt","base","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,371343750,0.8,0.3,97.7220394736842,121.354166666667
"stark","ganze Stadt","base","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,-128656250,0.75,0.25,-33.8569078947368,-42.0445261437908
"base","base","stark","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,361343750,0.8,0.3,95.0904605263158,118.086192810458
"dekarbonisiert","base","stark","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,311343750,0.8,0.3,81.9325657894737,101.746323529412
"stark","base","stark","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,-188656250,0.75,0.25,-49.6463815789474,-61.6523692810458
"base","Innenstadt","stark","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,350084810,0.8,0.3,92.1275822368421,114.406801470588
"dekarbonisiert","Innenstadt","stark","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,300084810,0.8,0.3,78.9696875,98.0669321895425
"stark","Innenstadt","stark","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,-199915190,0.75,0.25,-52.6092598684211,-65.331760620915
"base","ganze Stadt","stark","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,336004380,0.8,0.25,88.4222039473684,109.80535130719
"dekarbonisiert","ganze Stadt","stark","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,286004380,0.8,0.25,75.2643092105263,93.4654820261438
"stark","ganze Stadt","stark","base","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.2,-213995620,0.75,0.25,-56.3146381578947,-69.9332107843137
"base","base","base","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.2,853125000,0.8,0.25,224.506578947368,278.799019607843
"dekarbonisiert","base","base","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.2,803125000,0.8,0.25,211.348684210526,262.459150326797
"stark","base","base","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,303125000,0.75,0.25,79.7697368421053,99.0604575163399
"base","Innenstadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.2,820331500,0.8,0.25,215.876710526316,268.082189542484
"dekarbonisiert","Innenstadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,770331500,0.8,0.25,202.718815789474,251.742320261438
"stark","Innenstadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,270331500,0.75,0.25,71.1398684210526,88.3436274509804
"base","ganze Stadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,784865000,0.8,0.25,206.543421052632,256.491830065359
"dekarbonisiert","ganze Stadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,734865000,0.8,0.25,193.385526315789,240.151960784314
"stark","ganze Stadt","base","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,234865000,0.7,0.25,61.8065789473684,76.7532679738562
"base","base","stark","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,724865000,0.8,0.25,190.753947368421,236.883986928105
"dekarbonisiert","base","stark","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,674865000,0.8,0.25,177.596052631579,220.544117647059
"stark","base","stark","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,174865000,0.7,0.25,46.0171052631579,57.1454248366013
"base","Innenstadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,694583550,0.8,0.25,182.785144736842,226.988088235294
"dekarbonisiert","Innenstadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,644583550,0.8,0.25,169.62725,210.648218954248
"stark","Innenstadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,144583550,0.7,0.25,38.048302631579,47.2495261437909
"base","ganze Stadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,661762750,0.8,0.25,174.148092105263,216.262336601307
"dekarbonisiert","ganze Stadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,611762750,0.8,0.25,160.990197368421,199.922467320261
"stark","ganze Stadt","stark","Maut","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,111762750,0.7,0.25,29.41125,36.523774509804
"base","base","base","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.01297,416393750,0.8,0.25,109.577302631579,136.076388888889
"dekarbonisiert","base","base","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.00297,366393750,0.8,0.25,96.4194078947368,119.736519607843
"stark","base","base","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.0027,-133606250,0.75,0.25,-35.1595394736842,-43.6621732026144
"base","Innenstadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.0128215,405431810,0.8,0.25,106.692582236842,132.494056372549
"dekarbonisiert","Innenstadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.0028215,355431810,0.8,0.25,93.5346875,116.154187091503
"stark","Innenstadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.002565,-144568190,0.75,0.25,-38.0442598684211,-47.2445057189543
"base","ganze Stadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.012673,391796880,0.8,0.25,103.104440789474,128.038194444444
"dekarbonisiert","ganze Stadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.002673,341796880,0.8,0.25,89.9465460526316,111.698325163399
"stark","ganze Stadt","base","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.00243,-158203120,0.75,0.25,-41.6324013157895,-51.7003676470588
"base","base","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.012673,331796880,0.8,0.25,87.3149671052632,108.43035130719
"dekarbonisiert","base","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.002673,281796880,0.8,0.25,74.157072368421,92.0904820261438
"stark","base","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.00243,-218203120,0.75,0.25,-57.421875,-71.3082107843137
"base","Innenstadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.01253935,321163830,0.8,0.25,84.5167976973684,104.955500408497
"dekarbonisiert","Innenstadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.00253935,271163830,0.8,0.25,71.3589029605263,88.615631127451
"stark","Innenstadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.0023085,-228836170,0.75,0.25,-60.2200444078947,-74.7830616830065
"base","ganze Stadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.0124057,307991440,0.8,0.25,81.0503782894737,100.650796568627
"dekarbonisiert","ganze Stadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.0024057,257991440,0.8,0.25,67.8924835526316,84.3109272875817
"stark","ganze Stadt","stark","Verbot","base","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.002187,-242008560,0.7,0.25,-63.6864638157895,-79.0877655228758
"base","base","base","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,3458812500,0.8,0.3,910.213815789474,1130.33088235294
"dekarbonisiert","base","base","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,3408812500,0.8,0.3,897.055921052631,1113.9910130719
"stark","base","base","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,2908812500,0.75,0.3,765.47697368421,950.592320261438
"base","Innenstadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,3433500620,0.8,0.3,903.552796052632,1122.05902777778
"dekarbonisiert","Innenstadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,3383500620,0.8,0.3,890.39490131579,1105.71915849673
"stark","Innenstadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,2883500620,0.75,0.3,758.815953947368,942.320465686274
"base","ganze Stadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,3405218750,0.8,0.3,896.110197368421,1112.81658496732
"dekarbonisiert","ganze Stadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,3355218750,0.8,0.3,882.952302631579,1096.47671568627
"stark","ganze Stadt","base","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,2855218750,0.75,0.25,751.373355263158,933.078022875817
"base","base","stark","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,3345218750,0.8,0.3,880.32072368421,1093.20874183007
"dekarbonisiert","base","stark","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,3295218750,0.8,0.3,867.162828947368,1076.86887254902
"stark","base","stark","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,2795218750,0.75,0.25,735.583881578947,913.470179738562
"base","Innenstadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,3321641060,0.8,0.3,874.116069078947,1085.50361519608
"dekarbonisiert","Innenstadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,3271641060,0.8,0.3,860.958174342105,1069.16374591503
"stark","Innenstadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,2771641060,0.75,0.25,729.379226973684,905.765053104575
"base","ganze Stadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,3295241880,0.8,0.25,867.168914473684,1076.87642973856
"dekarbonisiert","ganze Stadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,3245241880,0.8,0.25,854.011019736842,1060.53656045752
"stark","ganze Stadt","stark","base","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.2,2745241880,0.75,0.25,722.432072368421,897.137867647059
"base","base","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.2,3722437500,0.8,0.25,979.588815789474,1216.48284313725
"dekarbonisiert","base","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.2,3672437500,0.8,0.25,966.430921052631,1200.14297385621
"stark","base","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3172437500,0.7,0.25,834.85197368421,1036.74428104575
"base","Innenstadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.2,3682162380,0.8,0.25,968.990098684211,1203.3210375817
"dekarbonisiert","Innenstadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3632162380,0.8,0.25,955.832203947368,1186.98116830065
"stark","Innenstadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3132162380,0.7,0.2,824.253256578947,1023.5824754902
"base","ganze Stadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3639511250,0.8,0.25,957.766118421053,1189.38276143791
"dekarbonisiert","ganze Stadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3589511250,0.8,0.25,944.60822368421,1173.04289215686
"stark","ganze Stadt","base","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3089511250,0.7,0.2,813.029276315789,1009.64419934641
"base","base","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3579511250,0.8,0.25,941.976644736842,1169.77491830065
"dekarbonisiert","base","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3529511250,0.8,0.25,928.81875,1153.43504901961
"stark","base","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3029511250,0.7,0.2,797.239802631579,990.03635620915
"base","Innenstadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3542526040,0.8,0.2,932.243694078947,1157.68824754902
"dekarbonisiert","Innenstadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3492526040,0.8,0.2,919.085799342105,1141.34837826797
"stark","Innenstadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,2992526040,0.7,0.2,787.506851973684,977.949685457516
"base","ganze Stadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3503283620,0.8,0.2,921.916743421053,1144.86392973856
"dekarbonisiert","ganze Stadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,3453283620,0.8,0.2,908.75884868421,1128.52406045752
"stark","ganze Stadt","stark","Maut","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.15,2953283620,0.7,0.2,777.17990131579,965.125367647059
"base","base","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.01,3216601250,0.8,0.2,846.474013157895,1051.17687908497
"dekarbonisiert","base","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,3166601250,0.8,0.2,833.316118421052,1034.83700980392
"stark","base","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,2666601250,0.7,0.2,701.737171052631,871.438316993464
"base","Innenstadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.01,3200098240,0.8,0.2,842.131115131579,1045.7837377451
"dekarbonisiert","Innenstadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,3150098240,0.8,0.2,828.973220394737,1029.44386846405
"stark","Innenstadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,2650098240,0.7,0.2,697.394273026316,866.045175653595
"base","ganze Stadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.01,3181724120,0.8,0.2,837.295822368421,1039.77912581699
"dekarbonisiert","ganze Stadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,3131724120,0.8,0.2,824.137927631579,1023.43925653595
"stark","ganze Stadt","base","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,2631724120,0.7,0.15,692.558980263158,860.04056372549
"base","base","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.01,3121724120,0.8,0.2,821.50634868421,1020.17128267974
"dekarbonisiert","base","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,3071724120,0.8,0.2,808.348453947368,1003.83141339869
"stark","base","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,2571724120,0.7,0.15,676.769506578947,840.432720588235
"base","Innenstadt","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.01,3106184300,0.8,0.2,817.416922039474,1015.09290972222
"dekarbonisiert","Innenstadt","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,3056184300,0.8,0.2,804.259027302632,998.753040441176
"stark","Innenstadt","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,2556184300,0.7,0.15,672.68007993421,835.354347630719
"base","ganze Stadt","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.01,3088866940,0.8,0.15,812.859720394737,1009.43363970588
"dekarbonisiert","ganze Stadt","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,3038866940,0.8,0.15,799.701825657895,993.093770424837
"stark","ganze Stadt","stark","Verbot","Maut","ganze Stadt","1.000 €/Jahr","2,00 €/h",0,2538866940,0.7,0.15,668.122878289474,829.695077614379
"base","base","base","base","Verbot","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,447462500,0.8,0.3,117.753289473684,146.229575163399
"dekarbonisiert","base","base","base","Verbot","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,397462500,0.8,0.3,104.595394736842,129.889705882353
"stark","base","base","base","Verbot","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.25,-102537500,0.75,0.3,-26.983552631579,-33.5089869281046
"base","Innenstadt","base","base","Verbot","ganze Stadt","1.000 €/Jahr","2,00 €/h",0.3,435838120,0.8,0.3,114.694243421053,142.430759803922
